服务器输出文件名	config_treause_stage.xml	根名称	ability														
客户端输出文件名	config_treause_stage.xml	项名称	treause_stage														
升阶唯一ID	宝物ID	阶	孔序	激活当前孔需要的真气	int16当前加成类型	float当前加的值											
40050605	4005	6	5	45500	117	50											
40050606	4005	6	6	45600	118	20											
40050607	4005	6	7	45700	119	60											
40050608	4005	6	8	45800	120	10											
40050609	4005	6	9	45900	121	50											
40050610	4005	6	10	46000	122	20											
40050701	4005	7	1	46100	20	60											
40050702	4005	7	2	46200	21	45											
40050703	4005	7	3	46300	22	35											
40050704	4005	7	4	46400	102	20											
40050705	4005	7	5	46500	103	25											
40050706	4005	7	6	46600	105	30											
40050707	4005	7	7	46700	106	50											
40050708	4005	7	8	46800	107	55											
40050709	4005	7	9	46900	108	70											
40050710	4005	7	10	47000	109	75											
40050801	4005	8	1	47100	110	85											
40050802	4005	8	2	47200	111	55											
40050803	4005	8	3	47300	112	20											
40050804	4005	8	4	47400	113	30											
40050805	4005	8	5	47500	114	20											
40050806	4005	8	6	47600	115	80											
40050807	4005	8	7	47700	116	30											
40050808	4005	8	8	47800	117	50											
40050809	4005	8	9	47900	118	20											
40050810	4005	8	10	48000	119	60											
40050901	4005	9	1	48100	120	10											
40050902	4005	9	2	48200	121	50											
40050903	4005	9	3	48300	122	20											
40050904	4005	9	4	48400	20	60											
40050905	4005	9	5	48500	21	45											
40050906	4005	9	6	48600	22	35											
40050907	4005	9	7	48700	102	20											
40050908	4005	9	8	48800	103	25											
40050909	4005	9	9	48900	105	30											
40050910	4005	9	10	49000	106	50											
40051001	4005	10	1	49100	107	55											
40051002	4005	10	2	49200	108	70											
40051003	4005	10	3	49300	109	75											
40051004	4005	10	4	49400	110	85											
40051005	4005	10	5	49500	111	55											
40051006	4005	10	6	49600	112	20											
40051007	4005	10	7	49700	113	30											
40051008	4005	10	8	49800	114	20											
40051009	4005	10	9	49900	115	80											
40051010	4005	10	10	50000	116	30											
80010101	8001	1	1	100	20	50											
80010102	8001	1	2	200	21	20											
80010103	8001	1	3	300	22	60											
80010104	8001	1	4	400	102	10											
80010105	8001	1	5	500	103	50											
80010106	8001	1	6	600	105	20											
80010107	8001	1	7	700	106	60											
80010108	8001	1	8	800	107	45											
80010109	8001	1	9	900	108	35											
80010110	8001	1	10	1000	109	20											
80010201	8001	2	1	1100	110	25											
80010202	8001	2	2	1200	111	30											
80010203	8001	2	3	1300	112	50											
80010204	8001	2	4	1400	113	55											
80010205	8001	2	5	1500	114	70											
80010206	8001	2	6	1600	115	75											
80010207	8001	2	7	1700	116	85											
80010208	8001	2	8	1800	117	55											
80010209	8001	2	9	1900	118	20											
80010210	8001	2	10	2000	119	30											
80010301	8001	3	1	2100	120	20											
80010302	8001	3	2	2200	121	80											
80010303	8001	3	3	2300	122	30											
80010304	8001	3	4	2400	20	50											
80010305	8001	3	5	2500	21	20											
80010306	8001	3	6	2600	22	60											
80010307	8001	3	7	2700	102	10											
80010308	8001	3	8	2800	103	50											
80010309	8001	3	9	2900	105	20											
80010310	8001	3	10	3000	106	60											
80010401	8001	4	1	3100	107	45											
80010402	8001	4	2	3200	108	35											
80010403	8001	4	3	3300	109	20											
80010404	8001	4	4	3400	110	25											
80010405	8001	4	5	3500	111	30											
80010406	8001	4	6	3600	112	50											
80010407	8001	4	7	3700	113	55											
80010408	8001	4	8	3800	114	70											
80010409	8001	4	9	3900	115	75											
80010410	8001	4	10	4000	116	85											
80010501	8001	5	1	4100	117	55											
80010502	8001	5	2	4200	118	20											
80010503	8001	5	3	4300	119	30											
80010504	8001	5	4	4400	120	20											
80010505	8001	5	5	4500	121	80											
80010506	8001	5	6	4600	122	30											
80010507	8001	5	7	4700	20	50											
80010508	8001	5	8	4800	21	20											
80010509	8001	5	9	4900	22	60											
80010510	8001	5	10	5000	102	10											
80010601	8001	6	1	5100	103	50											
80010602	8001	6	2	5200	105	20											
80010603	8001	6	3	5300	106	60											
80010604	8001	6	4	5400	107	45											
80010605	8001	6	5	5500	108	35											
80010606	8001	6	6	5600	109	20											
80010607	8001	6	7	5700	110	25											
80010608	8001	6	8	5800	111	30											
80010609	8001	6	9	5900	112	50											
80010610	8001	6	10	6000	113	55											
80010701	8001	7	1	6100	114	70											
80010702	8001	7	2	6200	115	75											
80010703	8001	7	3	6300	116	85											
80010704	8001	7	4	6400	117	55											
80010705	8001	7	5	6500	118	20											
80010706	8001	7	6	6600	119	30											
80010707	8001	7	7	6700	120	20											
80010708	8001	7	8	6800	121	80											
80010709	8001	7	9	6900	122	30											
80010710	8001	7	10	7000	20	50											
80010801	8001	8	1	7100	21	20											
80010802	8001	8	2	7200	22	60											
80010803	8001	8	3	7300	102	10											
80010804	8001	8	4	7400	103	50											
80010805	8001	8	5	7500	105	20											
80010806	8001	8	6	7600	106	60											
80010807	8001	8	7	7700	107	45											
80010808	8001	8	8	7800	108	35											
80010809	8001	8	9	7900	109	20											
80010810	8001	8	10	8000	110	25											
80010901	8001	9	1	8100	111	30											
80010902	8001	9	2	8200	112	50											
80010903	8001	9	3	8300	113	55											
80010904	8001	9	4	8400	114	70											
80010905	8001	9	5	8500	115	75											
80010906	8001	9	6	8600	116	85											
80010907	8001	9	7	8700	117	55											
80010908	8001	9	8	8800	118	20											
80010909	8001	9	9	8900	119	30											
80010910	8001	9	10	9000	120	20											
80011001	8001	10	1	9100	121	80											
80011002	8001	10	2	9200	122	30											
80011003	8001	10	3	9300	20	50											
80011004	8001	10	4	9400	21	20											
80011005	8001	10	5	9500	22	60											
80011006	8001	10	6	9600	102	10											
80011007	8001	10	7	9700	103	50											
80011008	8001	10	8	9800	105	20											
80011009	8001	10	9	9900	106	60											
80011010	8001	10	10	10000	107	45											
80020101	8002	1	1	10100	108	35											
80020102	8002	1	2	10200	109	20											
80020103	8002	1	3	10300	110	25											
80020104	8002	1	4	10400	111	30											
80020105	8002	1	5	10500	112	50											
80020106	8002	1	6	10600	113	55											
80020107	8002	1	7	10700	114	70											
80020108	8002	1	8	10800	115	75											
80020109	8002	1	9	10900	116	85											
80020110	8002	1	10	11000	117	55											
80020201	8002	2	1	11100	118	20											
80020202	8002	2	2	11200	119	30											
80020203	8002	2	3	11300	120	20											
80020204	8002	2	4	11400	121	80											
80020205	8002	2	5	11500	122	30											
80020206	8002	2	6	11600	20	50											
80020207	8002	2	7	11700	21	20											
80020208	8002	2	8	11800	22	60											
80020209	8002	2	9	11900	102	10											
80020210	8002	2	10	12000	103	50											
80020301	8002	3	1	12100	105	20											
80020302	8002	3	2	12200	106	60											
80020303	8002	3	3	12300	107	45											
80020304	8002	3	4	12400	108	35											
80020305	8002	3	5	12500	109	20											
80020306	8002	3	6	12600	110	25											
80020307	8002	3	7	12700	111	30											
80020308	8002	3	8	12800	112	50											
80020309	8002	3	9	12900	113	55											
80020310	8002	3	10	13000	114	70											
80020401	8002	4	1	13100	115	75											
80020402	8002	4	2	13200	116	85											
80020403	8002	4	3	13300	117	55											
80020404	8002	4	4	13400	118	20											
80020405	8002	4	5	13500	119	30											
80020406	8002	4	6	13600	120	20											
80020407	8002	4	7	13700	121	80											
80020408	8002	4	8	13800	122	30											
80020409	8002	4	9	13900	20	50											
80020410	8002	4	10	14000	21	20											
80020501	8002	5	1	14100	22	60											
80020502	8002	5	2	14200	102	10											
80020503	8002	5	3	14300	103	50											
80020504	8002	5	4	14400	105	20											
80020505	8002	5	5	14500	106	60											
80020506	8002	5	6	14600	107	45											
80020507	8002	5	7	14700	108	35											
80020508	8002	5	8	14800	109	20											
80020509	8002	5	9	14900	110	25											
80020510	8002	5	10	15000	111	30											
80020601	8002	6	1	15100	112	50											
80020602	8002	6	2	15200	113	55											
80020603	8002	6	3	15300	114	70											
80020604	8002	6	4	15400	115	75											
80020605	8002	6	5	15500	116	85											
80020606	8002	6	6	15600	117	55											
80020607	8002	6	7	15700	118	20											
80020608	8002	6	8	15800	119	30											
80020609	8002	6	9	15900	120	20											
80020610	8002	6	10	16000	121	80											
80020701	8002	7	1	16100	122	30											
80020702	8002	7	2	16200	20	50											
80020703	8002	7	3	16300	21	20											
80020704	8002	7	4	16400	22	60											
80020705	8002	7	5	16500	102	10											
80020706	8002	7	6	16600	103	50											
80020707	8002	7	7	16700	105	20											
80020708	8002	7	8	16800	106	60											
80020709	8002	7	9	16900	107	45											
80020710	8002	7	10	17000	108	35											
80020801	8002	8	1	17100	109	20											
80020802	8002	8	2	17200	110	25											
80020803	8002	8	3	17300	111	30											
80020804	8002	8	4	17400	112	50											
80020805	8002	8	5	17500	113	55											
80020806	8002	8	6	17600	114	70											
80020807	8002	8	7	17700	115	75											
80020808	8002	8	8	17800	116	85											
80020809	8002	8	9	17900	117	55											
80020810	8002	8	10	18000	118	20											
80020901	8002	9	1	18100	119	30											
80020902	8002	9	2	18200	120	20											
80020903	8002	9	3	18300	121	80											
80020904	8002	9	4	18400	122	30											
80020905	8002	9	5	18500	20	50											
80020906	8002	9	6	18600	21	20											
80020907	8002	9	7	18700	22	60											
80020908	8002	9	8	18800	102	10											
80020909	8002	9	9	18900	103	50											
80020910	8002	9	10	19000	105	20											
80021001	8002	10	1	19100	106	60											
80021002	8002	10	2	19200	107	45											
80021003	8002	10	3	19300	108	35											
80021004	8002	10	4	19400	109	20											
80021005	8002	10	5	19500	110	25											
80021006	8002	10	6	19600	111	30											
80021007	8002	10	7	19700	112	50											
80021008	8002	10	8	19800	113	55											
80021009	8002	10	9	19900	114	70											
80021010	8002	10	10	20000	115	75											
80030101	8003	1	1	20100	116	85											
80030102	8003	1	2	20200	117	55											
80030103	8003	1	3	20300	118	20											
80030104	8003	1	4	20400	119	30											
80030105	8003	1	5	20500	120	20											
80030106	8003	1	6	20600	121	80											
80030107	8003	1	7	20700	122	30											
80030108	8003	1	8	20800	20	50											
80030109	8003	1	9	20900	21	20											
80030110	8003	1	10	21000	22	60											
80030201	8003	2	1	21100	102	10											
80030202	8003	2	2	21200	103	50											
80030203	8003	2	3	21300	105	20											
80030204	8003	2	4	21400	106	60											
80030205	8003	2	5	21500	107	45											
80030206	8003	2	6	21600	108	35											
80030207	8003	2	7	21700	109	20											
80030208	8003	2	8	21800	110	25											
80030209	8003	2	9	21900	111	30											
80030210	8003	2	10	22000	112	50											
80030301	8003	3	1	22100	113	55											
80030302	8003	3	2	22200	114	70											
80030303	8003	3	3	22300	115	75											
80030304	8003	3	4	22400	116	85											
80030305	8003	3	5	22500	117	55											
80030306	8003	3	6	22600	118	20											
80030307	8003	3	7	22700	119	30											
80030308	8003	3	8	22800	120	20											
80030309	8003	3	9	22900	121	80											
80030310	8003	3	10	23000	122	30											
80030401	8003	4	1	23100	20	50											
80030402	8003	4	2	23200	21	20											
80030403	8003	4	3	23300	22	60											
80030404	8003	4	4	23400	102	10											
80030405	8003	4	5	23500	103	50											
80030406	8003	4	6	23600	105	20											
80030407	8003	4	7	23700	106	60											
80030408	8003	4	8	23800	107	45											
80030409	8003	4	9	23900	108	35											
80030410	8003	4	10	24000	109	20											
80030501	8003	5	1	24100	110	25											
80030502	8003	5	2	24200	111	30											
80030503	8003	5	3	24300	112	50											
80030504	8003	5	4	24400	113	55											
80030505	8003	5	5	24500	114	70											
80030506	8003	5	6	24600	115	75											
80030507	8003	5	7	24700	116	85											
80030508	8003	5	8	24800	117	55											
80030509	8003	5	9	24900	118	20											
80030510	8003	5	10	25000	119	30											
80030601	8003	6	1	25100	120	20											
80030602	8003	6	2	25200	121	80											
80030603	8003	6	3	25300	122	30											
80030604	8003	6	4	25400	20	50											
80030605	8003	6	5	25500	21	20											
80030606	8003	6	6	25600	22	60											
80030607	8003	6	7	25700	102	10											
80030608	8003	6	8	25800	103	50											
80030609	8003	6	9	25900	105	20											
80030610	8003	6	10	26000	106	60											
80030701	8003	7	1	26100	107	45											
80030702	8003	7	2	26200	108	35											
80030703	8003	7	3	26300	109	20											
80030704	8003	7	4	26400	110	25											
80030705	8003	7	5	26500	111	30											
80030706	8003	7	6	26600	112	50											
80030707	8003	7	7	26700	113	55											
80030708	8003	7	8	26800	114	70											
80030709	8003	7	9	26900	115	75											
80030710	8003	7	10	27000	116	85											
80030801	8003	8	1	27100	117	55											
80030802	8003	8	2	27200	118	20											
80030803	8003	8	3	27300	119	30											
80030804	8003	8	4	27400	120	20											
80030805	8003	8	5	27500	121	80											
80030806	8003	8	6	27600	122	30											
80030807	8003	8	7	27700	20	50											
80030808	8003	8	8	27800	21	20											
80030809	8003	8	9	27900	22	60											
80030810	8003	8	10	28000	102	10											
80030901	8003	9	1	28100	103	50											
80030902	8003	9	2	28200	105	20											
80030903	8003	9	3	28300	106	60											
80030904	8003	9	4	28400	107	45											
80030905	8003	9	5	28500	108	35											
80030906	8003	9	6	28600	109	20											
80030907	8003	9	7	28700	110	25											
80030908	8003	9	8	28800	111	30											
80030909	8003	9	9	28900	112	50											
80030910	8003	9	10	29000	113	55											
80031001	8003	10	1	29100	114	70											
80031002	8003	10	2	29200	115	75											
80031003	8003	10	3	29300	116	85											
80031004	8003	10	4	29400	117	55											
80031005	8003	10	5	29500	118	20											
80031006	8003	10	6	29600	119	30											
80031007	8003	10	7	29700	120	20											
80031008	8003	10	8	29800	121	80											
80031009	8003	10	9	29900	122	30											
80031010	8003	10	10	30000	20	50											
80040101	8004	1	1	30100	21	20											
80040102	8004	1	2	30200	22	60											
80040103	8004	1	3	30300	102	10											
80040104	8004	1	4	30400	103	50											
80040105	8004	1	5	30500	105	20											
80040106	8004	1	6	30600	106	60											
80040107	8004	1	7	30700	107	45											
80040108	8004	1	8	30800	108	35											
80040109	8004	1	9	30900	109	20											
80040110	8004	1	10	31000	110	25											
80040201	8004	2	1	31100	111	30											
80040202	8004	2	2	31200	112	50											
80040203	8004	2	3	31300	113	55											
80040204	8004	2	4	31400	114	70											
80040205	8004	2	5	31500	115	75											
80040206	8004	2	6	31600	116	85											
80040207	8004	2	7	31700	117	55											
80040208	8004	2	8	31800	118	20											
80040209	8004	2	9	31900	119	30											
80040210	8004	2	10	32000	120	20											
80040301	8004	3	1	32100	121	80											
80040302	8004	3	2	32200	122	30											
80040303	8004	3	3	32300	20	50											
80040304	8004	3	4	32400	21	20											
80040305	8004	3	5	32500	22	60											
80040306	8004	3	6	32600	102	10											
80040307	8004	3	7	32700	103	50											
80040308	8004	3	8	32800	105	20											
80040309	8004	3	9	32900	106	60											
80040310	8004	3	10	33000	107	45											
80040401	8004	4	1	33100	108	35											
80040402	8004	4	2	33200	109	20											
80040403	8004	4	3	33300	110	25											
80040404	8004	4	4	33400	111	30											
80040405	8004	4	5	33500	112	50											
80040406	8004	4	6	33600	113	55											
80040407	8004	4	7	33700	114	70											
80040408	8004	4	8	33800	115	75											
80040409	8004	4	9	33900	116	85											
80040410	8004	4	10	34000	117	55											
80040501	8004	5	1	34100	118	20											
80040502	8004	5	2	34200	119	30											
80040503	8004	5	3	34300	120	20											
80040504	8004	5	4	34400	121	80											
80040505	8004	5	5	34500	122	30											
80040506	8004	5	6	34600	20	50											
80040507	8004	5	7	34700	21	20											
80040508	8004	5	8	34800	22	60											
80040509	8004	5	9	34900	102	10											
80040510	8004	5	10	35000	103	50											
80040601	8004	6	1	35100	105	20											
80040602	8004	6	2	35200	106	60											
80040603	8004	6	3	35300	107	45											
80040604	8004	6	4	35400	108	35											
80040605	8004	6	5	35500	109	20											
80040606	8004	6	6	35600	110	25											
80040607	8004	6	7	35700	111	30											
80040608	8004	6	8	35800	112	50											
80040609	8004	6	9	35900	113	55											
80040610	8004	6	10	36000	114	70											
80040701	8004	7	1	36100	115	75											
80040702	8004	7	2	36200	116	85											
80040703	8004	7	3	36300	117	55											
80040704	8004	7	4	36400	118	20											
80040705	8004	7	5	36500	119	30											
80040706	8004	7	6	36600	120	20											
80040707	8004	7	7	36700	121	80											
80040708	8004	7	8	36800	122	30											
80040709	8004	7	9	36900	20	50											
80040710	8004	7	10	37000	21	20											
80040801	8004	8	1	37100	22	60											
80040802	8004	8	2	37200	102	10											
80040803	8004	8	3	37300	103	50											
80040804	8004	8	4	37400	105	20											
80040805	8004	8	5	37500	106	60											
80040806	8004	8	6	37600	107	45											
80040807	8004	8	7	37700	108	35											
80040808	8004	8	8	37800	109	20											
80040809	8004	8	9	37900	110	25											
80040810	8004	8	10	38000	111	30											
80040901	8004	9	1	38100	112	50											
80040902	8004	9	2	38200	113	55											
80040903	8004	9	3	38300	114	70											
80040904	8004	9	4	38400	115	75											
80040905	8004	9	5	38500	116	85											
80040906	8004	9	6	38600	117	55											
80040907	8004	9	7	38700	118	20											
80040908	8004	9	8	38800	119	30											
80040909	8004	9	9	38900	120	20											
80040910	8004	9	10	39000	121	80											
80041001	8004	10	1	39100	122	30											
80041002	8004	10	2	39200	20	50											
80041003	8004	10	3	39300	21	20											
80041004	8004	10	4	39400	22	60											
80041005	8004	10	5	39500	102	10											
80041006	8004	10	6	39600	103	50											
80041007	8004	10	7	39700	105	20											
80041008	8004	10	8	39800	106	60											
80041009	8004	10	9	39900	107	45											
80041010	8004	10	10	40000	108	35											
80050101	8005	1	1	40100	109	20											
80050102	8005	1	2	40200	110	25											
80050103	8005	1	3	40300	111	30											
80050104	8005	1	4	40400	112	50											
80050105	8005	1	5	40500	113	55											
80050106	8005	1	6	40600	114	70											
80050107	8005	1	7	40700	115	75											
80050108	8005	1	8	40800	116	85											
80050109	8005	1	9	40900	117	55											
80050110	8005	1	10	41000	118	20											
80050201	8005	2	1	41100	119	30											
80050202	8005	2	2	41200	120	20											
80050203	8005	2	3	41300	121	80											
80050204	8005	2	4	41400	122	30											
80050205	8005	2	5	41500	20	50											
80050206	8005	2	6	41600	21	20											
80050207	8005	2	7	41700	22	60											
80050208	8005	2	8	41800	102	10											
80050209	8005	2	9	41900	103	50											
80050210	8005	2	10	42000	105	20											
80050301	8005	3	1	42100	106	60											
80050302	8005	3	2	42200	107	45											
80050303	8005	3	3	42300	108	35											
80050304	8005	3	4	42400	109	20											
80050305	8005	3	5	42500	110	25											
80050306	8005	3	6	42600	111	30											
80050307	8005	3	7	42700	112	50											
80050308	8005	3	8	42800	113	55											
80050309	8005	3	9	42900	114	70											
80050310	8005	3	10	43000	115	75											
80050401	8005	4	1	43100	116	85											
80050402	8005	4	2	43200	117	55											
80050403	8005	4	3	43300	118	20											
80050404	8005	4	4	43400	119	30											
80050405	8005	4	5	43500	120	20											
80050406	8005	4	6	43600	121	80											
80050407	8005	4	7	43700	122	30											
80050408	8005	4	8	43800	20	50											
80050409	8005	4	9	43900	21	20											
80050410	8005	4	10	44000	22	60											
80050501	8005	5	1	44100	102	10											
80050502	8005	5	2	44200	103	50											
80050503	8005	5	3	44300	105	20											
80050504	8005	5	4	44400	106	60											
80050505	8005	5	5	44500	107	45											
80050506	8005	5	6	44600	108	35											
80050507	8005	5	7	44700	109	20											
80050508	8005	5	8	44800	110	25											
80050509	8005	5	9	44900	111	30											
80050510	8005	5	10	45000	112	50											
80050601	8005	6	1	45100	113	55											
80050602	8005	6	2	45200	114	70											
80050603	8005	6	3	45300	115	75											
80050604	8005	6	4	45400	116	85											
80050605	8005	6	5	45500	117	55											
80050606	8005	6	6	45600	118	20											
80050607	8005	6	7	45700	119	30											
80050608	8005	6	8	45800	120	20											
80050609	8005	6	9	45900	121	80											
80050610	8005	6	10	46000	122	30											
80050701	8005	7	1	46100	20	50											
80050702	8005	7	2	46200	21	20											
80050703	8005	7	3	46300	22	60											
80050704	8005	7	4	46400	102	10											
80050705	8005	7	5	46500	103	50											
80050706	8005	7	6	46600	105	20											
80050707	8005	7	7	46700	106	60											
80050708	8005	7	8	46800	107	45											
80050709	8005	7	9	46900	108	35											
80050710	8005	7	10	47000	109	20											
80050801	8005	8	1	47100	110	25											
80050802	8005	8	2	47200	111	30											
80050803	8005	8	3	47300	112	50											
80050804	8005	8	4	47400	113	55											
80050805	8005	8	5	47500	114	70											
80050806	8005	8	6	47600	115	75											
80050807	8005	8	7	47700	116	85											
80050808	8005	8	8	47800	117	55											
80050809	8005	8	9	47900	118	20											
80050810	8005	8	10	48000	119	30											
80050901	8005	9	1	48100	120	20											
80050902	8005	9	2	48200	121	80											
80050903	8005	9	3	48300	122	30											
80050904	8005	9	4	48400	20	50											
80050905	8005	9	5	48500	21	20											
80050906	8005	9	6	48600	22	60											
80050907	8005	9	7	48700	102	10											
80050908	8005	9	8	48800	103	50											
80050909	8005	9	9	48900	105	20											
80050910	8005	9	10	49000	106	60											
80051001	8005	10	1	49100	107	45											
80051002	8005	10	2	49200	108	35											
80051003	8005	10	3	49300	109	20											
80051004	8005	10	4	49400	110	25											
80051005	8005	10	5	49500	111	30											
80051006	8005	10	6	49600	112	50											
80051007	8005	10	7	49700	113	55											
80051008	8005	10	8	49800	114	70											
80051009	8005	10	9	49900	115	75											
80051010	8005	10	10	50000	116	85											
