服务器输出文件名	config_equip_base.xml	根名称	ability																																								
客户端输出文件名	config_equip_base.xml	项名称	equip_base																																								
装备类型id	名称	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	职业要求	部位	资质	品质	阶	主属性类型	数值	武力	身手	内力	生命上限	生命回复	怒气上限	怒气回复	武攻	武防	内力	内防	暴击率:百份比	暴击伤害:百份比	格挡率:百份比	格挡值:百份比	闪避:百份比	命中:百份比	伤害减免:百份比	CD减免:百份比	近战减免:百份比	远程减免:百份比	击中生命回复	击杀怒气回复	装备图标名称	模型形象	模型发型
107320602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	8	0	3	1	8	7	3	2	6	109	302	9	9.6	6.6	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107320702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	8	0	3	1	8	7	3	2	7	109	362.4	10.8	11.52	7.92	0	0	0	0	0	0	362.4	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107320802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	8	0	3	1	8	7	3	2	8	109	422.8	12.6	13.44	9.24	0	0	0	0	0	0	422.8	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107320902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	8	0	3	1	8	7	3	2	9	109	483.2	14.4	15.36	10.56	0	0	0	0	0	0	483.2	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107321002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	8	0	3	1	8	7	3	2	10	109	543.6	16.2	17.28	11.88	0	0	0	0	0	0	543.6	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107321102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	8	0	3	1	8	7	3	2	11	109	604	18	19.2	13.2	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107130102	琥珀玉佩	很普通的琥珀	1	10	12	10	7	0	3	1	8	7	1	3	1	109	16.9875	0.9	0.24	0.9	0	0	0	0	0	0	16.9875	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107130202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	7	0	3	1	8	7	1	3	2	109	33.975	1.8	0.48	1.8	0	0	0	0	0	0	33.975	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107130302	秋草玉佩	有着顽强的生命力	1	40	12	10	7	0	3	1	8	7	1	3	3	109	67.95	3.6	0.96	3.6	0	0	0	0	0	0	67.95	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107130402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	7	0	3	1	8	7	1	3	4	109	101.925	5.4	1.44	5.4	0	0	0	0	0	0	101.925	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107130502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	7	0	3	1	8	7	1	3	5	109	135.9	7.2	1.92	7.2	0	0	0	0	0	0	135.9	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107130602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	7	0	3	1	8	7	1	3	6	109	169.875	9	2.4	9	0	0	0	0	0	0	169.875	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107130702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	7	0	3	1	8	7	1	3	7	109	203.85	10.8	2.88	10.8	0	0	0	0	0	0	203.85	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107130802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	7	0	3	1	8	7	1	3	8	109	237.825	12.6	3.36	12.6	0	0	0	0	0	0	237.825	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107130902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	7	0	3	1	8	7	1	3	9	109	271.8	14.4	3.84	14.4	0	0	0	0	0	0	271.8	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107131002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	7	0	3	1	8	7	1	3	10	109	305.775	16.2	4.32	16.2	0	0	0	0	0	0	305.775	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107131102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	7	0	3	1	8	7	1	3	11	109	339.75	18	4.8	18	0	0	0	0	0	0	339.75	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107230102	琥珀玉佩	很普通的琥珀	1	10	12	10	7	0	3	1	8	7	2	3	1	109	23.7825	0.9	0.78	0.9	0	0	0	0	0	0	23.7825	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107230202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	7	0	3	1	8	7	2	3	2	109	47.565	1.8	1.56	1.8	0	0	0	0	0	0	47.565	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107230302	秋草玉佩	有着顽强的生命力	1	40	12	10	7	0	3	1	8	7	2	3	3	109	95.13	3.6	3.12	3.6	0	0	0	0	0	0	95.13	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107230402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	7	0	3	1	8	7	2	3	4	109	142.695	5.4	4.68	5.4	0	0	0	0	0	0	142.695	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107230502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	7	0	3	1	8	7	2	3	5	109	190.26	7.2	6.24	7.2	0	0	0	0	0	0	190.26	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107230602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	7	0	3	1	8	7	2	3	6	109	237.825	9	7.8	9	0	0	0	0	0	0	237.825	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107230702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	7	0	3	1	8	7	2	3	7	109	285.39	10.8	9.36	10.8	0	0	0	0	0	0	285.39	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107230802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	7	0	3	1	8	7	2	3	8	109	332.955	12.6	10.92	12.6	0	0	0	0	0	0	332.955	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107230902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	7	0	3	1	8	7	2	3	9	109	380.52	14.4	12.48	14.4	0	0	0	0	0	0	380.52	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107231002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	7	0	3	1	8	7	2	3	10	109	428.085	16.2	14.04	16.2	0	0	0	0	0	0	428.085	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107231102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	7	0	3	1	8	7	2	3	11	109	475.65	18	15.6	18	0	0	0	0	0	0	475.65	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107330102	琥珀玉佩	很普通的琥珀	1	10	12	10	7	0	3	1	8	7	3	3	1	109	33.975	0.9	0.96	0.9	0	0	0	0	0	0	33.975	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107330202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	7	0	3	1	8	7	3	3	2	109	67.95	1.8	1.92	1.8	0	0	0	0	0	0	67.95	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107330302	秋草玉佩	有着顽强的生命力	1	40	12	10	7	0	3	1	8	7	3	3	3	109	135.9	3.6	3.84	3.6	0	0	0	0	0	0	135.9	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107330402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	7	0	3	1	8	7	3	3	4	109	203.85	5.4	5.76	5.4	0	0	0	0	0	0	203.85	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107330502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	7	0	3	1	8	7	3	3	5	109	271.8	7.2	7.68	7.2	0	0	0	0	0	0	271.8	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107330602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	7	0	3	1	8	7	3	3	6	109	339.75	9	9.6	9	0	0	0	0	0	0	339.75	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107330702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	7	0	3	1	8	7	3	3	7	109	407.7	10.8	11.52	10.8	0	0	0	0	0	0	407.7	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107330802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	7	0	3	1	8	7	3	3	8	109	475.65	12.6	13.44	12.6	0	0	0	0	0	0	475.65	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107330902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	7	0	3	1	8	7	3	3	9	109	543.6	14.4	15.36	14.4	0	0	0	0	0	0	543.6	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107331002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	7	0	3	1	8	7	3	3	10	109	611.55	16.2	17.28	16.2	0	0	0	0	0	0	611.55	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107331102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	7	0	3	1	8	7	3	3	11	109	679.5	18	19.2	18	0	0	0	0	0	0	679.5	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107140102	琥珀玉佩	很普通的琥珀	1	10	12	10	6	0	3	1	8	7	1	4	1	109	18.875	0.9	0.24	0.36	0	0	0	0	0	0	18.875	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107140202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	6	0	3	1	8	7	1	4	2	109	37.75	1.8	0.48	0.72	0	0	0	0	0	0	37.75	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107140302	秋草玉佩	有着顽强的生命力	1	40	12	10	6	0	3	1	8	7	1	4	3	109	75.5	3.6	0.96	1.44	0	0	0	0	0	0	75.5	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107140402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	6	0	3	1	8	7	1	4	4	109	113.25	5.4	1.44	2.16	0	0	0	0	0	0	113.25	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107140502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	6	0	3	1	8	7	1	4	5	109	151	7.2	1.92	2.88	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107140602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	6	0	3	1	8	7	1	4	6	109	188.75	9	2.4	3.6	0	0	0	0	0	0	188.75	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107140702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	6	0	3	1	8	7	1	4	7	109	226.5	10.8	2.88	4.32	0	0	0	0	0	0	226.5	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107140802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	6	0	3	1	8	7	1	4	8	109	264.25	12.6	3.36	5.04	0	0	0	0	0	0	264.25	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107140902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	6	0	3	1	8	7	1	4	9	109	302	14.4	3.84	5.76	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107141002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	6	0	3	1	8	7	1	4	10	109	339.75	16.2	4.32	6.48	0	0	0	0	0	0	339.75	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107141102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	6	0	3	1	8	7	1	4	11	109	377.5	18	4.8	7.2	0	0	0	0	0	0	377.5	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107240102	琥珀玉佩	很普通的琥珀	1	10	12	10	6	0	3	1	8	7	2	4	1	109	26.425	0.9	0.78	0.36	0	0	0	0	0	0	26.425	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107240202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	6	0	3	1	8	7	2	4	2	109	52.85	1.8	1.56	0.72	0	0	0	0	0	0	52.85	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107240302	秋草玉佩	有着顽强的生命力	1	40	12	10	6	0	3	1	8	7	2	4	3	109	105.7	3.6	3.12	1.44	0	0	0	0	0	0	105.7	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107240402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	6	0	3	1	8	7	2	4	4	109	158.55	5.4	4.68	2.16	0	0	0	0	0	0	158.55	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107240502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	6	0	3	1	8	7	2	4	5	109	211.4	7.2	6.24	2.88	0	0	0	0	0	0	211.4	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107240602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	6	0	3	1	8	7	2	4	6	109	264.25	9	7.8	3.6	0	0	0	0	0	0	264.25	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107240702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	6	0	3	1	8	7	2	4	7	109	317.1	10.8	9.36	4.32	0	0	0	0	0	0	317.1	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107240802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	6	0	3	1	8	7	2	4	8	109	369.95	12.6	10.92	5.04	0	0	0	0	0	0	369.95	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107240902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	6	0	3	1	8	7	2	4	9	109	422.8	14.4	12.48	5.76	0	0	0	0	0	0	422.8	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107241002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	6	0	3	1	8	7	2	4	10	109	475.65	16.2	14.04	6.48	0	0	0	0	0	0	475.65	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107241102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	6	0	3	1	8	7	2	4	11	109	528.5	18	15.6	7.2	0	0	0	0	0	0	528.5	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107340102	琥珀玉佩	很普通的琥珀	1	10	12	10	6	0	3	1	8	7	3	4	1	109	37.75	0.9	0.96	0.36	0	0	0	0	0	0	37.75	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107340202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	6	0	3	1	8	7	3	4	2	109	75.5	1.8	1.92	0.72	0	0	0	0	0	0	75.5	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107340302	秋草玉佩	有着顽强的生命力	1	40	12	10	6	0	3	1	8	7	3	4	3	109	151	3.6	3.84	1.44	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107340402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	6	0	3	1	8	7	3	4	4	109	226.5	5.4	5.76	2.16	0	0	0	0	0	0	226.5	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107340502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	6	0	3	1	8	7	3	4	5	109	302	7.2	7.68	2.88	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107340602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	6	0	3	1	8	7	3	4	6	109	377.5	9	9.6	3.6	0	0	0	0	0	0	377.5	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107340702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	6	0	3	1	8	7	3	4	7	109	453	10.8	11.52	4.32	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107340802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	6	0	3	1	8	7	3	4	8	109	528.5	12.6	13.44	5.04	0	0	0	0	0	0	528.5	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107340902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	6	0	3	1	8	7	3	4	9	109	604	14.4	15.36	5.76	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107341002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	6	0	3	1	8	7	3	4	10	109	679.5	16.2	17.28	6.48	0	0	0	0	0	0	679.5	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107341102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	6	0	3	1	8	7	3	4	11	109	755	18	19.2	7.2	0	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107150102	琥珀玉佩	很普通的琥珀	1	10	12	10	5	0	3	1	8	7	1	5	1	109	20.7625	0.9	0.24	0.9	0	0	0	0	0	0	20.7625	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107150202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	5	0	3	1	8	7	1	5	2	109	41.525	1.8	0.48	1.8	0	0	0	0	0	0	41.525	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107150302	秋草玉佩	有着顽强的生命力	1	40	12	10	5	0	3	1	8	7	1	5	3	109	83.05	3.6	0.96	3.6	0	0	0	0	0	0	83.05	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107150402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	5	0	3	1	8	7	1	5	4	109	124.575	5.4	1.44	5.4	0	0	0	0	0	0	124.575	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107150502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	5	0	3	1	8	7	1	5	5	109	166.1	7.2	1.92	7.2	0	0	0	0	0	0	166.1	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107150602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	5	0	3	1	8	7	1	5	6	109	207.625	9	2.4	9	0	0	0	0	0	0	207.625	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107150702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	5	0	3	1	8	7	1	5	7	109	249.15	10.8	2.88	10.8	0	0	0	0	0	0	249.15	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107150802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	5	0	3	1	8	7	1	5	8	109	290.675	12.6	3.36	12.6	0	0	0	0	0	0	290.675	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107150902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	5	0	3	1	8	7	1	5	9	109	332.2	14.4	3.84	14.4	0	0	0	0	0	0	332.2	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107151002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	5	0	3	1	8	7	1	5	10	109	373.725	16.2	4.32	16.2	0	0	0	0	0	0	373.725	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107151102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	5	0	3	1	8	7	1	5	11	109	415.25	18	4.8	18	0	0	0	0	0	0	415.25	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107250102	琥珀玉佩	很普通的琥珀	1	10	12	10	5	0	3	1	8	7	2	5	1	109	29.0675	0.9	0.78	0.9	0	0	0	0	0	0	29.0675	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107250202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	5	0	3	1	8	7	2	5	2	109	58.135	1.8	1.56	1.8	0	0	0	0	0	0	58.135	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107250302	秋草玉佩	有着顽强的生命力	1	40	12	10	5	0	3	1	8	7	2	5	3	109	116.27	3.6	3.12	3.6	0	0	0	0	0	0	116.27	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107250402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	5	0	3	1	8	7	2	5	4	109	174.405	5.4	4.68	5.4	0	0	0	0	0	0	174.405	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107250502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	5	0	3	1	8	7	2	5	5	109	232.54	7.2	6.24	7.2	0	0	0	0	0	0	232.54	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107250602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	5	0	3	1	8	7	2	5	6	109	290.675	9	7.8	9	0	0	0	0	0	0	290.675	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107250702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	5	0	3	1	8	7	2	5	7	109	348.81	10.8	9.36	10.8	0	0	0	0	0	0	348.81	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107250802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	5	0	3	1	8	7	2	5	8	109	406.945	12.6	10.92	12.6	0	0	0	0	0	0	406.945	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107250902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	5	0	3	1	8	7	2	5	9	109	465.08	14.4	12.48	14.4	0	0	0	0	0	0	465.08	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107251002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	5	0	3	1	8	7	2	5	10	109	523.215	16.2	14.04	16.2	0	0	0	0	0	0	523.215	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107251102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	5	0	3	1	8	7	2	5	11	109	581.35	18	15.6	18	0	0	0	0	0	0	581.35	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
107350102	琥珀玉佩	很普通的琥珀	1	10	12	10	5	0	3	1	8	7	3	5	1	109	41.525	0.9	0.96	0.9	0	0	0	0	0	0	41.525	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
107350202	仙亭玉佩	看似好像有什么象征意义	1	20	12	10	5	0	3	1	8	7	3	5	2	109	83.05	1.8	1.92	1.8	0	0	0	0	0	0	83.05	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
107350302	秋草玉佩	有着顽强的生命力	1	40	12	10	5	0	3	1	8	7	3	5	3	109	166.1	3.6	3.84	3.6	0	0	0	0	0	0	166.1	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
107350402	灵蛇玉佩	有着一条小小幼蛇，很是古怪	1	60	12	10	5	0	3	1	8	7	3	5	4	109	249.15	5.4	5.76	5.4	0	0	0	0	0	0	249.15	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
107350502	乌琅玉佩	纵然追寻万年，今生的情缘不变	1	80	12	10	5	0	3	1	8	7	3	5	5	109	332.2	7.2	7.68	7.2	0	0	0	0	0	0	332.2	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
107350602	云珰玉佩	一块佩戴后，可所预知未来的神奇玉佩	1	100	12	10	5	0	3	1	8	7	3	5	6	109	415.25	9	9.6	9	0	0	0	0	0	0	415.25	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
107350702	天籁玉佩	落花有意结连理，伴月愿做一颗星	1	120	12	10	5	0	3	1	8	7	3	5	7	109	498.3	10.8	11.52	10.8	0	0	0	0	0	0	498.3	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
107350802	乌龙玉佩	龙出深渊，凤栖幽里，天缘会合江南	1	140	12	10	5	0	3	1	8	7	3	5	8	109	581.35	12.6	13.44	12.6	0	0	0	0	0	0	581.35	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
107350902	兰芝玉佩	红颜如月有圆缺，君名逍遥莫悲切	1	160	12	10	5	0	3	1	8	7	3	5	9	109	664.4	14.4	15.36	14.4	0	0	0	0	0	0	664.4	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
107351002	银锁玉佩	当年锁住上古天神，异常坚固	1	180	12	10	5	0	3	1	8	7	3	5	10	109	747.45	16.2	17.28	16.2	0	0	0	0	0	0	747.45	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
107351102	月神玉佩	远古月神所化身，有着月光的力量	1	200	12	10	5	0	3	1	8	7	3	5	11	109	830.5	18	19.2	18	0	0	0	0	0	0	830.5	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0
108110102	素手护腕	青青绿草，带起来很漂亮	1	10	12	10	9	0	3	1	8	8	1	1	1	109	39.6375	0	0	0	0	0	0	0	0	0	39.6375	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
108110202	白玉护腕	某家女子的定情信物	1	20	12	10	9	0	3	1	8	8	1	1	2	109	79.275	0	0	0	0	0	0	0	0	0	79.275	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
108110302	玉指护腕	细心打造，在江湖属于上品	1	40	12	10	9	0	3	1	8	8	1	1	3	109	158.55	0	0	0	0	0	0	0	0	0	158.55	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
108110402	曲指护腕	平明残月透帘栊，中酒前宵梦不浓	1	60	12	10	9	0	3	1	8	8	1	1	4	109	237.825	0	0	0	0	0	0	0	0	0	237.825	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
108110502	霜燕护腕	陈迹心头翻若浪，文章眼底涌如虹	1	80	12	10	9	0	3	1	8	8	1	1	5	109	317.1	0	0	0	0	0	0	0	0	0	317.1	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
108110602	白崖护腕	明日旅途知几许，冲寒且击兼程鼓	1	100	12	10	9	0	3	1	8	8	1	1	6	109	396.375	0	0	0	0	0	0	0	0	0	396.375	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
108110702	聚萤护腕	万只萤火虫聚力，有一股强大的力量	1	120	12	10	9	0	3	1	8	8	1	1	7	109	475.65	0	0	0	0	0	0	0	0	0	475.65	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
108110802	推心护腕	心事眼波全不定，一春风雨长多病	1	140	12	10	9	0	3	1	8	8	1	1	8	109	554.925	0	0	0	0	0	0	0	0	0	554.925	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
